,station,date_only,hour,pollutant,error_type
1285,londonrdaurn,2014/07/10,07,NO,negative
1291,londonrdaurn,2014/07/10,08,NO,negative
1293,londonrdaurn,2014/07/10,08,NO,negative
1299,londonrdaurn,2014/07/10,08,NO,negative
1303,londonrdaurn,2014/07/10,09,NO,negative
1307,londonrdaurn,2014/07/10,09,NO,negative
1310,londonrdaurn,2014/07/10,09,NO,negative
1313,londonrdaurn,2014/07/10,09,NO,negative
1319,londonrdaurn,2014/07/10,10,NO,negative
1321,londonrdaurn,2014/07/10,10,NO,negative
1325,londonrdaurn,2014/07/10,10,NO,negative
1327,londonrdaurn,2014/07/10,10,NO,negative
1332,londonrdaurn,2014/07/10,11,NO,negative
1334,londonrdaurn,2014/07/10,11,NO,negative
1338,londonrdaurn,2014/07/10,11,NO,negative
1340,londonrdaurn,2014/07/10,11,NO,negative
1344,londonrdaurn,2014/07/10,12,NO,negative
1348,londonrdaurn,2014/07/10,12,NO,negative
1353,londonrdaurn,2014/07/10,12,NO,negative
1355,londonrdaurn,2014/07/10,12,NO,negative
1359,londonrdaurn,2014/07/10,13,NO,negative
1367,londonrdaurn,2014/07/10,13,NO,negative
1368,londonrdaurn,2014/07/10,13,NO,negative
1374,londonrdaurn,2014/07/10,14,NO,negative
1378,londonrdaurn,2014/07/10,14,NO,negative
1381,londonrdaurn,2014/07/10,14,NO,negative
1382,londonrdaurn,2014/07/10,14,NO,negative
1387,londonrdaurn,2014/07/10,15,NO,negative
1392,londonrdaurn,2014/07/10,15,NO,negative
1394,londonrdaurn,2014/07/10,15,NO,negative
1397,londonrdaurn,2014/07/10,15,NO,negative
1400,londonrdaurn,2014/07/10,16,NO,negative
1405,londonrdaurn,2014/07/10,16,NO,negative
1459,londonrdaurn,2014/07/10,20,NO,negative
1462,londonrdaurn,2014/07/10,20,NO,negative
1464,londonrdaurn,2014/07/10,20,NO,negative
1482,londonrdaurn,2014/07/10,21,NO,negative
1490,londonrdaurn,2014/07/10,22,NO,negative
1491,londonrdaurn,2014/07/10,22,NO,negative
1496,londonrdaurn,2014/07/10,22,NO,negative
1499,londonrdaurn,2014/07/10,23,NO,negative
1502,londonrdaurn,2014/07/10,23,NO,negative
1506,londonrdaurn,2014/07/10,23,NO,negative
1510,londonrdaurn,2014/07/10,23,NO,negative
1511,londonrdaurn,2014/07/11,00,NO,negative
1516,londonrdaurn,2014/07/11,00,NO,negative
1519,londonrdaurn,2014/07/11,00,NO,negative
1524,londonrdaurn,2014/07/11,00,NO,negative
1528,londonrdaurn,2014/07/11,01,NO,negative
1530,londonrdaurn,2014/07/11,01,NO,negative
1534,londonrdaurn,2014/07/11,01,NO,negative
1536,londonrdaurn,2014/07/11,01,NO,negative
1540,londonrdaurn,2014/07/11,02,NO,negative
1545,londonrdaurn,2014/07/11,02,NO,negative
1548,londonrdaurn,2014/07/11,02,NO,negative
1550,londonrdaurn,2014/07/11,02,NO,negative
1555,londonrdaurn,2014/07/11,03,NO,negative
1560,londonrdaurn,2014/07/11,03,NO,negative
1565,londonrdaurn,2014/07/11,03,NO,negative
1571,londonrdaurn,2014/07/11,04,NO,negative
1604,londonrdaurn,2014/07/11,06,NO,negative
1607,londonrdaurn,2014/07/11,06,NO,negative
1612,londonrdaurn,2014/07/11,07,NO,negative
1615,londonrdaurn,2014/07/11,07,NO,negative
1617,londonrdaurn,2014/07/11,07,NO,negative
1620,londonrdaurn,2014/07/11,07,NO,negative
1626,londonrdaurn,2014/07/11,08,NO,negative
1628,londonrdaurn,2014/07/11,08,NO,negative
1632,londonrdaurn,2014/07/11,08,NO,negative
1636,londonrdaurn,2014/07/11,08,NO,negative
1640,londonrdaurn,2014/07/11,09,NO,negative
1645,londonrdaurn,2014/07/11,09,NO,negative
1650,londonrdaurn,2014/07/11,09,NO,negative
1655,londonrdaurn,2014/07/11,10,NO,negative
1659,londonrdaurn,2014/07/11,10,NO,negative
1664,londonrdaurn,2014/07/11,10,NO,negative
1667,londonrdaurn,2014/07/11,11,NO,negative
1670,londonrdaurn,2014/07/11,11,NO,negative
1673,londonrdaurn,2014/07/11,11,NO,negative
1678,londonrdaurn,2014/07/11,11,NO,negative
1683,londonrdaurn,2014/07/11,12,NO,negative
1710,londonrdaurn,2014/07/11,14,NO,negative
1711,londonrdaurn,2014/07/11,14,NO,negative
1715,londonrdaurn,2014/07/11,14,NO,negative
1720,londonrdaurn,2014/07/11,15,NO,negative
1723,londonrdaurn,2014/07/11,15,NO,negative
1725,londonrdaurn,2014/07/11,15,NO,negative
1728,londonrdaurn,2014/07/11,15,NO,negative
1733,londonrdaurn,2014/07/11,16,NO,negative
1737,londonrdaurn,2014/07/11,16,NO,negative
1740,londonrdaurn,2014/07/11,16,NO,negative
1753,londonrdaurn,2014/07/11,17,NO,negative
1756,londonrdaurn,2014/07/11,17,NO,negative
1772,londonrdaurn,2014/07/11,18,NO,negative
1820,londonrdaurn,2014/07/11,22,NO,negative
1827,londonrdaurn,2014/07/11,22,NO,negative
1833,londonrdaurn,2014/07/11,23,NO,negative
1834,londonrdaurn,2014/07/11,23,NO,negative
1846,londonrdaurn,2014/07/12,00,NO,negative
1850,londonrdaurn,2014/07/12,00,NO,negative
1853,londonrdaurn,2014/07/12,00,NO,negative
1854,londonrdaurn,2014/07/12,00,NO,negative
1858,londonrdaurn,2014/07/12,01,NO,negative
1864,londonrdaurn,2014/07/12,01,NO,negative
1869,londonrdaurn,2014/07/12,01,NO,negative
1875,londonrdaurn,2014/07/12,02,NO,negative
1876,londonrdaurn,2014/07/12,02,NO,negative
1879,londonrdaurn,2014/07/12,02,NO,negative
1883,londonrdaurn,2014/07/12,02,NO,negative
1890,londonrdaurn,2014/07/12,03,NO,negative
1894,londonrdaurn,2014/07/12,03,NO,negative
1910,londonrdaurn,2014/07/12,04,NO,negative
1993,londonrdaurn,2014/07/12,10,NO,negative
2042,londonrdaurn,2014/07/12,14,NO,negative
2047,londonrdaurn,2014/07/12,14,NO,negative
2062,londonrdaurn,2014/07/12,15,NO,negative
2073,londonrdaurn,2014/07/12,16,NO,negative
2116,londonrdaurn,2014/07/12,19,NO,negative
2121,londonrdaurn,2014/07/12,19,NO,negative
2136,londonrdaurn,2014/07/12,20,NO,negative
2149,londonrdaurn,2014/07/12,21,NO,negative
2162,londonrdaurn,2014/07/12,22,NO,negative
2166,londonrdaurn,2014/07/12,23,NO,negative
2172,londonrdaurn,2014/07/12,23,NO,negative
2175,londonrdaurn,2014/07/12,23,NO,negative
2176,londonrdaurn,2014/07/12,23,NO,negative
2179,londonrdaurn,2014/07/13,00,NO,negative
2186,londonrdaurn,2014/07/13,00,NO,negative
2188,londonrdaurn,2014/07/13,00,NO,negative
2191,londonrdaurn,2014/07/13,00,NO,negative
2193,londonrdaurn,2014/07/13,01,NO,negative
2199,londonrdaurn,2014/07/13,01,NO,negative
2203,londonrdaurn,2014/07/13,01,NO,negative
2205,londonrdaurn,2014/07/13,01,NO,negative
2209,londonrdaurn,2014/07/13,02,NO,negative
2213,londonrdaurn,2014/07/13,02,NO,negative
2216,londonrdaurn,2014/07/13,02,NO,negative
2218,londonrdaurn,2014/07/13,02,NO,negative
2222,londonrdaurn,2014/07/13,03,NO,negative
2227,londonrdaurn,2014/07/13,03,NO,negative
2230,londonrdaurn,2014/07/13,03,NO,negative
2234,londonrdaurn,2014/07/13,03,NO,negative
2237,londonrdaurn,2014/07/13,04,NO,negative
2242,londonrdaurn,2014/07/13,04,NO,negative
2244,londonrdaurn,2014/07/13,04,NO,negative
2248,londonrdaurn,2014/07/13,04,NO,negative
2250,londonrdaurn,2014/07/13,05,NO,negative
2255,londonrdaurn,2014/07/13,05,NO,negative
2258,londonrdaurn,2014/07/13,05,NO,negative
2262,londonrdaurn,2014/07/13,05,NO,negative
2266,londonrdaurn,2014/07/13,06,NO,negative
2270,londonrdaurn,2014/07/13,06,NO,negative
2272,londonrdaurn,2014/07/13,06,NO,negative
2317,londonrdaurn,2014/07/13,09,NO,negative
2331,londonrdaurn,2014/07/13,10,NO,negative
2350,londonrdaurn,2014/07/13,12,NO,negative
